t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
6.043,-0.1190,-1.0000,-0.0000,1.1190,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.063,-0.1190,-1.0000,-0.0000,1.1190,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.083,-0.1190,-1.0000,-0.0000,1.1190,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.103,-0.1190,-1.0000,-0.0000,1.1190,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.123,-0.1145,-1.0000,-0.0000,1.1145,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.144,-0.1145,-1.0000,-0.0000,1.1145,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.163,-0.1145,-1.0000,-0.0000,1.1145,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.183,-0.1101,-1.0000,-0.0000,1.1101,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.203,-0.1042,-1.0000,-0.0000,1.1042,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.223,-0.1042,-1.0000,-0.0000,1.1042,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.245,-0.1042,-1.0000,-0.0000,1.1042,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.263,-0.0998,-1.0000,-0.0000,1.0998,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.283,-0.0998,-1.0000,-0.0000,1.0998,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.303,-0.0998,-1.0000,-0.0000,1.0998,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.323,-0.0909,-1.0000,-0.0000,1.0909,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.343,-0.0909,-1.0000,-0.0000,1.0909,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.363,-0.0909,-1.0000,-0.0000,1.0909,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.383,-0.0909,-1.0000,-0.0000,1.0909,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.405,-0.0909,-1.0000,-0.0000,1.0909,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.423,-0.0850,-1.0000,-0.0000,1.0850,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.444,-0.0806,-1.0000,-0.0000,1.0806,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.463,-0.0806,-1.0000,-0.0000,1.0806,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.483,-0.0791,-1.0000,-0.0000,1.0791,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.503,-0.0732,-1.0000,-0.0000,1.0732,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.524,-0.0732,-1.0000,-0.0000,1.0732,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.543,-0.0732,-1.0000,-0.0000,1.0732,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.563,-0.0702,-1.0000,-0.0000,1.0702,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.583,-0.0643,-1.0000,-0.0000,1.0643,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.605,-0.0643,-1.0000,-0.0000,1.0643,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
6.623,-0.0599,-1.0000,-0.0000,1.0599,0.2000,0.0000,0.0000,1,1.0000,-1.0000,0
