t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
3.863,-0.3043,-1.0000,-0.0000,1.3043,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.884,-0.3043,-1.0000,-0.0000,1.3043,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.903,-0.3006,-1.0000,-0.0000,1.3006,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.923,-0.3006,-1.0000,-0.0000,1.3006,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.943,-0.3006,-1.0000,-0.0000,1.3006,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.963,-0.2951,-1.0000,-0.0000,1.2951,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
3.985,-0.2951,-1.0000,-0.0000,1.2951,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.003,-0.2951,-1.0000,-0.0000,1.2951,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.023,-0.2914,-1.0000,-0.0000,1.2914,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.044,-0.2877,-1.0000,-0.0000,1.2877,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.063,-0.2859,-1.0000,-0.0000,1.2859,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.083,-0.2840,-1.0000,-0.0000,1.2840,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.103,-0.2840,-1.0000,-0.0000,1.2840,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.124,-0.2840,-1.0000,-0.0000,1.2840,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.143,-0.2840,-1.0000,-0.0000,1.2840,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.163,-0.2840,-1.0000,-0.0000,1.2840,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.184,-0.2822,-1.0000,-0.0000,1.2822,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.205,-0.2803,-1.0000,-0.0000,1.2803,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.223,-0.2766,-1.0000,-0.0000,1.2766,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.243,-0.2766,-1.0000,-0.0000,1.2766,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.263,-0.2766,-1.0000,-0.0000,1.2766,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.283,-0.2748,-1.0000,-0.0000,1.2748,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.303,-0.2711,-1.0000,-0.0000,1.2711,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.323,-0.2711,-1.0000,-0.0000,1.2711,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.343,-0.2692,-1.0000,-0.0000,1.2692,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.363,-0.2674,-1.0000,-0.0000,1.2674,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.384,-0.2674,-1.0000,-0.0000,1.2674,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.403,-0.2674,-1.0000,-0.0000,1.2674,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.423,-0.2674,-1.0000,-0.0000,1.2674,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.443,-0.2674,-1.0000,-0.0000,1.2674,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.464,-0.2637,-1.0000,-0.0000,1.2637,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.483,-0.2619,-1.0000,-0.0000,1.2619,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.503,-0.2619,-1.0000,-0.0000,1.2619,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.523,-0.2619,-1.0000,-0.0000,1.2619,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.543,-0.2619,-1.0000,-0.0000,1.2619,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.566,-0.2619,-1.0000,-0.0000,1.2619,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.583,-0.2600,-1.0000,-0.0000,1.2600,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.603,-0.2582,-1.0000,-0.0000,1.2582,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.623,-0.2582,-1.0000,-0.0000,1.2582,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.643,-0.2563,-1.0000,-0.0000,1.2563,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.665,-0.2526,-1.0000,-0.0000,1.2526,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.683,-0.2526,-1.0000,-0.0000,1.2526,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.703,-0.2508,-1.0000,-0.0000,1.2508,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.723,-0.2489,-1.0000,-0.0000,1.2489,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.745,-0.2489,-1.0000,-0.0000,1.2489,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.763,-0.2452,-1.0000,-0.0000,1.2452,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.783,-0.2452,-1.0000,-0.0000,1.2452,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.803,-0.2452,-1.0000,-0.0000,1.2452,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.823,-0.2434,-1.0000,-0.0000,1.2434,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
4.843,-0.2434,-1.0000,-0.0000,1.2434,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
